2018-09-13 10:11:53,978 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.jt.1803:jt-parent:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-parent\pom.xml.
2018-09-13 10:13:13,659 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.jt.1803:jt-common:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-common\pom.xml.
2018-09-13 10:13:16,430 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-13 10:13:16,432 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-13 10:13:16,434 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-13 10:13:16,435 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-13 10:13:19,249 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-13 10:13:19,252 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-13 10:13:19,254 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-13 10:13:19,254 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-13 10:14:22,883 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jt.1803:jt-manage:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-manage\pom.xml.
2018-09-13 10:14:26,681 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:14:26,684 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-09-13 10:14:26,733 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:14:26,734 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-manage\src\test\resources
2018-09-13 10:15:01,762 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:15:01,780 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-09-13 10:15:01,825 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:15:01,826 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-manage\src\test\resources
2018-09-13 10:15:49,720 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jt.1803:jt-sso:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-sso\pom.xml.
2018-09-13 10:15:52,361 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:15:52,364 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2018-09-13 10:15:52,423 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:15:52,424 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-sso\src\test\resources
2018-09-13 10:16:17,484 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:17,490 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2018-09-13 10:16:17,543 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:17,544 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-sso\src\test\resources
2018-09-13 10:16:18,919 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jt.1803:jt-cart:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-cart\pom.xml.
2018-09-13 10:16:21,885 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:21,887 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2018-09-13 10:16:21,929 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:21,931 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-cart\src\test\resources
2018-09-13 10:16:48,522 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:48,536 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2018-09-13 10:16:48,577 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:48,578 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-cart\src\test\resources
2018-09-13 10:16:48,811 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jt.1803:jt-order:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-order\pom.xml.
2018-09-13 10:16:51,449 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:51,450 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-09-13 10:16:51,505 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:16:51,506 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-order\src\test\resources
2018-09-13 10:17:50,252 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:17:50,260 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-09-13 10:17:50,311 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:17:50,313 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-order\src\test\resources
2018-09-13 10:17:51,375 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jt.1803:jt-web:0.0.1-SNAPSHOT @ D:\zhangjiujun\teach\cgb\jtMobile\jt-web\pom.xml.
2018-09-13 10:17:53,957 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:17:53,959 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2018-09-13 10:17:53,995 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:17:53,997 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-web\src\test\resources
2018-09-13 10:18:49,502 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:18:49,509 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2018-09-13 10:18:49,546 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:18:49,547 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-web\src\test\resources
2018-09-13 10:20:35,577 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:20:35,580 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-13 10:20:35,581 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:20:35,582 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-sso\src\test\resources
2018-09-13 10:20:46,803 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:20:46,806 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-13 10:20:46,808 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
